Node,Best Config,Best Validation Accuracy
Node_0,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.26865673065185547
Node_1,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31147539615631104
Node_2,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31147539615631104
Node_3,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.22580644488334656
Node_4,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.328125
Node_5,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.2711864411830902
Node_6,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.2631579041481018
Node_7,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31147539615631104
Node_8,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31578946113586426
Node_9,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.29230770468711853
Node_10,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.3333333432674408
Node_11,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.3174603283405304
Node_12,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.3333333432674408
Node_13,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.28787878155708313
Node_14,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.25
Node_15,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.29629629850387573
Node_16,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.3035714328289032
Node_17,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31147539615631104
Node_18,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.28787878155708313
Node_19,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31147539615631104
Node_20,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.2711864411830902
Node_21,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.2711864411830902
Node_22,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.2982456088066101
Node_23,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.32203391194343567
Node_24,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.34545454382896423
Node_25,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.31578946113586426
Node_26,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.29629629850387573
Node_27,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.3166666626930237
Node_28,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.29411765933036804
Node_29,"{'units': 64, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 32, 'l2_reg': 0.001, 'epochs': 100}",0.2931034564971924
Node_30,"{'units': 128, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'batch_size': 16, 'l2_reg': 0.001, 'epochs': 100}",0.3181818127632141
