Node,Best Parameters,Accuracy,Precision,Recall,F1-Score,False Positives,False Negatives,MAE (Regression),RMSE (Regression)
Node_0,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9253731343283582,1.0,0.9253731343283582,0.9612403100775194,0,5,0.07462686567164178,0.2731791823540765
Node_1,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8360655737704918,1.0,0.8360655737704918,0.9107142857142857,0,10,0.16393442622950818,0.40488816508945796
Node_2,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.819672131147541,1.0,0.819672131147541,0.9009009009009009,0,11,0.18032786885245902,0.4246502900652006
Node_3,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8870967741935484,1.0,0.8870967741935484,0.9401709401709402,0,7,0.11290322580645161,0.3360107525161235
Node_4,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.890625,1.0,0.890625,0.9421487603305785,0,7,0.109375,0.33071891388307384
Node_5,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.7796610169491526,1.0,0.7796610169491526,0.8761904761904762,0,13,0.22033898305084745,0.46940279403817725
Node_6,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8947368421052632,1.0,0.8947368421052632,0.9444444444444444,0,6,0.10526315789473684,0.3244428422615251
Node_7,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9180327868852459,1.0,0.9180327868852459,0.9572649572649573,0,5,0.08196721311475409,0.2862991671569341
Node_8,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8771929824561403,1.0,0.8771929824561403,0.9345794392523364,0,7,0.12280701754385964,0.3504383220252312
Node_9,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,0,10,0.15384615384615385,0.3922322702763681
Node_10,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9047619047619048,1.0,0.9047619047619048,0.95,0,6,0.09523809523809523,0.3086066999241838
Node_11,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.7936507936507936,1.0,0.7936507936507936,0.8849557522123894,0,13,0.20634920634920634,0.45425676257949793
Node_12,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8260869565217391,1.0,0.8260869565217391,0.9047619047619048,0,12,0.17391304347826086,0.41702882811414954
Node_13,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9545454545454546,1.0,0.9545454545454546,0.9767441860465116,0,3,0.045454545454545456,0.21320071635561044
Node_14,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9,1.0,0.9,0.9473684210526315,0,6,0.1,0.31622776601683794
Node_15,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8518518518518519,1.0,0.8518518518518519,0.92,0,8,0.14814814814814814,0.3849001794597505
Node_16,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,0,4,0.07142857142857142,0.2672612419124244
Node_17,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8852459016393442,1.0,0.8852459016393442,0.9391304347826087,0,7,0.11475409836065574,0.3387537429470791
Node_18,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8787878787878788,1.0,0.8787878787878788,0.9354838709677419,0,8,0.12121212121212122,0.3481553119113957
