Node,Best Parameters,Accuracy,Precision,F1-Score
Node_0,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8656716417910447,1.0,0.928
Node_1,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9836065573770492,1.0,0.9917355371900827
Node_2,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9180327868852459,1.0,0.9572649572649573
Node_3,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9838709677419355,1.0,0.991869918699187
Node_4,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.921875,1.0,0.959349593495935
Node_5,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9830508474576272,1.0,0.9914529914529915
Node_6,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,1.0,0.9636363636363636
Node_7,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9508196721311475,1.0,0.9747899159663865
Node_8,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,1.0,0.9636363636363636
Node_9,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9384615384615385,1.0,0.9682539682539683
Node_10,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9523809523809523,1.0,0.975609756097561
Node_11,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9523809523809523,1.0,0.975609756097561
Node_12,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9710144927536232,1.0,0.9852941176470589
Node_13,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9242424242424242,1.0,0.9606299212598425
Node_14,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9333333333333333,1.0,0.9655172413793104
Node_15,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9074074074074074,1.0,0.9514563106796117
Node_16,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9642857142857143,1.0,0.9818181818181818
Node_17,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9836065573770492,1.0,0.9917355371900827
Node_18,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9393939393939394,1.0,0.96875
Node_19,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",1.0,1.0,1.0
Node_20,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9661016949152542,1.0,0.9827586206896551
Node_21,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9491525423728814,1.0,0.9739130434782609
Node_22,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9473684210526315,1.0,0.972972972972973
Node_23,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9661016949152542,1.0,0.9827586206896551
Node_24,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.8727272727272727,1.0,0.9320388349514563
Node_25,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9298245614035088,1.0,0.9636363636363636
Node_26,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9814814814814815,1.0,0.9906542056074766
Node_27,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9333333333333333,1.0,0.9655172413793104
Node_28,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9411764705882353,1.0,0.9696969696969697
Node_29,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9482758620689655,1.0,0.9734513274336283
Node_30,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9242424242424242,1.0,0.9606299212598425
Node_31,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.967741935483871,1.0,0.9836065573770492
Node_32,"{'gamma': 'scale', 'kernel': 'linear', 'nu': 0.05}",0.9180327868852459,1.0,0.9572649572649573
